dataset,codec,payload_bytes,realized_ratio,detector,path,seed,point_f1,event_f1,pr_auc,vus_pr,tau,rmse,gpu_model
Spike,Q4,608,7.894736842105263,IF,A,45,0.09947643979057591,0.017094017094017096,0.2835759537593307,0.7595572360617207,0.511488772264914,0.090616368549129,cpu
Spike,R4,150,32.0,D4,B,45,0.0,0.0,0.017619047619047618,0.04227860926128651,2.305847397772907,,cpu
Rhythm,R0,4800,1.0,PCA,A,45,0.8929663608562691,0.6666666666666666,0.6999233865308825,0.847900652205838,0.13737295481311115,0.0,cpu
Rhythm,R0,4800,1.0,IF,A,45,0.8466257668711656,0.5263157894736842,0.7071217366799155,0.8555169304007935,0.5245335277394864,0.0,cpu
Rhythm,Q8,1208,3.9735099337748343,PCA,A,45,0.8929663608562691,0.6666666666666666,0.6995973199479649,0.8478358916398681,0.13737295481311115,0.0025576595820510323,cpu
Rhythm,Q8,1208,3.9735099337748343,IF,A,45,0.845679012345679,0.5,0.7070702234131615,0.855897158011215,0.5245335277394864,0.0025576595820510323,cpu
Rhythm,Q4,608,7.894736842105263,PCA,A,45,0.40329218106995884,0.05128205128205127,0.7016762523266673,0.8490188341377549,0.13737295481311115,0.04318961552123268,cpu
Rhythm,Q4,608,7.894736842105263,IF,A,45,0.7875354107648725,0.2285714285714286,0.6936584298860071,0.8431721381644943,0.5245335277394864,0.04318961552123268,cpu
Rhythm,R4,150,32.0,D4,B,45,0.7086614173228346,0.923076923076923,0.6687663327439997,0.7383699476877708,2.2034930662774603,,cpu
Drift,R0,4800,1.0,PCA,A,45,0.7402135231316725,1.0,0.713917819121593,0.7879564772784261,0.1369661533742599,0.0,cpu
Drift,R0,4800,1.0,IF,A,45,0.8075639599555061,0.888888888888889,0.8588709976118413,0.9107062360010427,0.5192811486790059,0.0,cpu
Drift,Q8,1208,3.9735099337748343,PCA,A,45,0.7431952662721893,1.0,0.7144396123024176,0.7882546932713835,0.1369661533742599,0.0040923141275302334,cpu
Drift,Q8,1208,3.9735099337748343,IF,A,45,0.8102678571428571,0.923076923076923,0.8595518794286325,0.9108349472163876,0.5192811486790059,0.0040923141275302334,cpu
Drift,Q4,608,7.894736842105263,PCA,A,45,0.585635359116022,0.5714285714285715,0.6650886437879815,0.7374571855635674,0.1369661533742599,0.06930248516245882,cpu
Drift,Q4,608,7.894736842105263,IF,A,45,0.6763698630136986,0.3364485981308411,0.7859066168463058,0.839428700119856,0.5192811486790059,0.06930248516245882,cpu
Drift,R4,150,32.0,D4,B,45,0.21476510067114093,0.7142857142857143,0.46299478370328906,0.49894561199609705,2.305847397772907,,cpu
Drift,R4-decode,150,32.0,PCA,A,45,0.5974805038992201,1.0,0.34168239382465604,0.377505167975323,0.1369661533742599,0.35018037664928053,cpu
Chaos,R0,4800,1.0,PCA,A,45,0.9003021148036254,0.6666666666666666,0.984872324438066,0.995343687302814,0.1369661533742599,0.0,cpu
Chaos,R0,4800,1.0,IF,A,45,0.8292682926829268,0.3076923076923077,0.9011144263624853,0.9678349331264817,0.5192811486790059,0.0,cpu
